Etudiant_Directeur,Grade_obtenu,Programme,Soumission_manuscrit,Titre_soutenance
Sivakumar Kannan / Gertraud Burger,07/02/2008,Bio-informatique,17/12/2007,Molecular protein function prediction using sequence similarity-based and similarity-free approaches
Nicolas Rodrigue / Hervé Philippe,07/02/2008,Bio-informatique,14/12/2007,Phylogenetic structural modeling of molecular evolution
Emmanuelle Permal / François Major,04/10/2007,Bio-informatique,07/08/2007,Étude de la structure tertiaire des motifs ARN chez les virus
Yan Zhou / Hervé Philippe,08/10/2009,Bio-informatique,27/08/2009,Modeling heterotachy in phylogenetics
Claudia Laura Kleinman / Hervé Philippe,04/11/2010,Bio-informatique,28/09/2010,Statistical potentials for evolutionary studies
Yu Liu / Franz Bernd Lang,05/08/2010,Bio-informatique,23/06/2010,"A phylogenomics approach to resolving fungal évolution, and phylogenetic method development"
Yaoqing Shen / Gertraud Burger,01/04/2010,Bio-informatique,20/01/2010,In silico analysis of mitochondrial proteins
Mathieu Lajoie / Nadia El-Mabrouk,05/05/2010,Bio-informatique,29/01/2010,Approches algorithmiques pour l’inférence d’histoires de duplications en tandem avec inversions et délétions pour des familles multigéniques
Lilianne Dupuis / Normand Mousseau,05/04/2012,Bio-informatique,13/12/2011,Développement d’une méthode multi-échelle pour l’étude des grandes transformations dans les protéines
Béatrice Roure / Hervé Philippe/Franz Lang,06/10/2011,Bio-informatique,25/07/2011,Amélioration de l’exactitude de l’inférence phylogénomique
Mathieu Courcelles / Pierre Thibault,03/05/2012,Bio-informatique,16/04/2012,"Identification de nouveaux substrats des kinases ERK1/2 par une approche bio-informatique, pharmacologique et phosphoprotéomique"
Konstantin Bokov / Serguei Chteinberg,02/08/2013,Bio-informatique,23/07/2013,Structural aspects of the ribosome evolution and function
Marie Pier Scott-Boyer / Christian Deschepper,03/09/2013,Bio-informatique,26/06/2013,Études de réseaux d’expression génique: utilité pour l’élucidation des déterminants génétiques des traits complexes
Julie Hussin / Philip Awadalla,03/09/2013,Bio-informatique,21/06/2013,Genomic variation in recombination patterns: Implications for disease and cancer
Malika Aïd / Sylvie Mader,03/03/2014,Bio-informatique,30/05/2013,"Une nouvelle approche computationnelle pour la découverte des sites de fixation de facteurs de transcription à l’ADN, adaptée aux données de Chip-chip et de Chip-séquençage"
Tetsu Ishii / Serguei Chteinberg,22/09/2014,Bio-informatique,04/07/2014,The  study of RNA tertiary interactions on tRNA structure and function
Geneviève Galarneau / Guillaume Lettre,22/09/2014,Bio-informatique,25/06/2014,Genetic Determinants of Clinical Heterogeneity in Sickle Cell Disease
Louis-Philippe Lemieux-Perreault / Marie-Pierre Dubé,01/05/2014,Bio-informatique,13/02/2014,Approches bio-informatiques appliquées aux technologies émergentes en génomique
Olivier Tremblay-Savard / Nadia El-Mabrouk,01/05/2014,Bio-informatique,22/01/2014,"Étude de l’évolution des génomes par duplications, pertes et réarrangements"
Sandrine Moreira / / Gertraud Burger,2017-03-30,Bio-informatique,2016-11-29,Décodage de l’expression de gènes cryptiques
Yohann Nédélec / Luis Barreiro,2018-03-12,Bio-informatique,2017-11-20,"Impact des variants génétiques sur la réponse immunitaire des populations
humaines"
Diala Abd Rabbo / Stephen Michnick,2017-10-12,Bio-informatique,2017-08-22,Beyond hairballs: Depicting complexity of a kinase‐phosphatase network in the budding yeast
Jee Eun Kang / Mohamed Hijri,2019-03-07,Bio-informatique,2018-12-07,Novel Bioinformatics Programs for Taxonomical Classification and Functional Analysis of the Whole Genome Sequencing Data of Arbuscular Mycorrhizal Fungi
Nicolas Girard / Pascale Legault,2019-03-07,Bio-informatique,2018-11-07,"Étude de la relation entre structure, dynamique et fonction de l’ARN par l’ingénierie du ribozyme VS de Neurospora"
Emmanuel Noutahi / Nadia El-Mabrouk,2019-03-07,Bio-informatique,2018-11-06,Méthodes et algorithmes pour l’amélioration de l’inférence de l’histoire évolutive des génomes
Tariq Daouda / Claude Perreault,2019-03-07,Bio-informatique,2018-09-20,L’usage des codons régule la présentation des peptides associés aux molécules de CMH-1
